"index","continent","category","year_founded"
"0","Africa","Agriculture","1947"
"1","Africa","Aviation & Transport","1854"
"2","Africa","Banking & Finance","1892"
"3","Africa","Distillers, Vintners, & Breweries","1933"
"4","Africa","Energy","1968"
"5","Africa","Food & Beverages","1878"
"6","Africa","Manufacturing & Production","1820"
"7","Africa","Media","1943"
"8","Africa","Mining","1962"
"9","Africa","Postal Service","1772"
"10","Asia","Agriculture","1930"
"11","Asia","Aviation & Transport","1858"
"12","Asia","Banking & Finance","1830"
"13","Asia","Cafés, Restaurants & Bars","1153"
"14","Asia","Conglomerate","1841"
"15","Asia","Construction","578"
"16","Asia","Defense","1808"
"17","Asia","Distillers, Vintners, & Breweries","1853"
"18","Asia","Energy","1928"
"19","Asia","Food & Beverages","1820"
"20","Asia","Manufacturing & Production","1736"
"21","Asia","Media","1931"
"22","Asia","Mining","1913"
"23","Asia","Postal Service","1800"
"24","Asia","Retail","1883"
"25","Asia","Telecommunications","1885"
"26","Asia","Tourism & Hotels","1584"
"27","Europe","Agriculture","1218"
"28","Europe","Banking & Finance","1606"
"29","Europe","Cafés, Restaurants & Bars","803"
"30","Europe","Consumer Goods","1649"
"31","Europe","Defense","1878"
"32","Europe","Distillers, Vintners, & Breweries","862"
"33","Europe","Manufacturing & Production","864"
"34","Europe","Media","1999"
"35","Europe","Medical","1422"
"36","Europe","Mining","1248"
"37","Europe","Postal Service","1520"
"38","Europe","Telecommunications","1912"
"39","Europe","Tourism & Hotels","1230"
"40","North America","Agriculture","1638"
"41","North America","Aviation & Transport","1870"
"42","North America","Banking & Finance","1891"
"43","North America","Distillers, Vintners, & Breweries","1703"
"44","North America","Food & Beverages","1920"
"45","North America","Manufacturing & Production","1534"
"46","North America","Media","1909"
"47","North America","Retail","1670"
"48","North America","Tourism & Hotels","1770"
"49","Oceania","Banking & Finance","1861"
"50","Oceania","Postal Service","1809"
"51","South America","Banking & Finance","1565"
"52","South America","Cafés, Restaurants & Bars","1877"
"53","South America","Defense","1811"
"54","South America","Food & Beverages","1660"
"55","South America","Manufacturing & Production","1621"
